LOAN_AMOUNT,CREDIT_SCORE,MONTHLY_INCOME,DEBT_TO_INCOME_RATIO,LOAN_TERM_MONTHS,EMPLOYMENT_STATUS,EDUCATION_LEVEL,LOAN_PURPOSE,STATE,LOAN_DEFAULT
21907,482,4612,0.27,6,Self-Employed,Masters,Education,NY,1
6168,588,2003,0.28,36,Employed,Masters,Business,TX,1
5912,742,8311,0.16,34,Retired,High School,Car,NY,0
19759,552,2639,0.39,25,Unemployed,High School,Car,TX,1
18810,765,4059,0.11,52,Employed,High School,Business,NY,0
14372,522,500,0.49,33,Employed,Bachelors,Debt Consolidation,TX,1
1000,697,4650,0.06,43,Employed,PhD,Home,TX,0
6510,539,1895,0.28,28,Self-Employed,PhD,Debt Consolidation,IL,0
21152,423,2762,0.39,6,Employed,Masters,Home,NC,1
17161,495,1567,0.42,21,Employed,Bachelors,Debt Consolidation,NY,1
16499,374,500,0.41,13,Employed,Bachelors,Education,NC,1
19273,461,4442,0.23,6,Employed,High School,Car,NY,1
4734,437,500,0.27,18,Employed,High School,Home,GA,0
1000,683,4239,0.05,39,Self-Employed,Bachelors,Debt Consolidation,GA,0
5505,669,6488,0.33,32,Employed,Bachelors,Education,FL,0
20404,820,7576,0.22,47,Employed,Bachelors,Education,FL,0
1000,349,1407,0.45,6,Employed,Bachelors,Car,FL,1
19086,338,500,0.29,6,Employed,Masters,Home,OH,0
1000,560,1599,0.13,34,Employed,Bachelors,Home,CA,1
20434,459,2441,0.41,10,Unemployed,Bachelors,Car,TX,1
19711,479,1986,0.43,16,Employed,Masters,Debt Consolidation,GA,1
19690,544,2309,0.41,25,Retired,Bachelors,Business,OH,1
18595,638,3167,0.45,38,Unemployed,Masters,Education,TX,1
11145,355,500,0.41,6,Unemployed,Bachelors,Education,NY,1
18001,613,3907,0.30,29,Self-Employed,Masters,Education,FL,0
21995,445,3196,0.21,6,Employed,High School,Car,GA,1
24286,620,1655,0.56,41,Employed,Bachelors,Business,IL,1
9984,403,591,0.34,11,Employed,Masters,Debt Consolidation,IL,1
24375,850,5037,0.12,77,Employed,Bachelors,Education,NY,0
13037,612,3397,0.09,31,Employed,Bachelors,Home,NY,1
1000,700,4242,0.13,46,Employed,Bachelors,Home,IL,0
20006,703,4991,0.29,39,Employed,Masters,Debt Consolidation,CA,0
15895,642,2753,0.48,41,Employed,High School,Debt Consolidation,CA,1
2628,634,1746,0.30,46,Employed,High School,Education,IL,0
19241,673,3316,0.24,41,Self-Employed,Bachelors,Car,GA,1
14054,329,1592,0.34,6,Self-Employed,High School,Business,NC,0
11121,427,971,0.10,11,Employed,PhD,Education,OH,1
18060,629,1013,0.50,46,Employed,High School,Home,NC,1
25480,597,5391,0.29,18,Employed,High School,Home,IL,0
20346,747,4007,0.20,50,Employed,Masters,Business,OH,0
1000,587,1539,0.21,39,Employed,PhD,Debt Consolidation,FL,1
24730,644,3707,0.40,35,Employed,Bachelors,Car,CA,1
25768,507,5311,0.28,6,Employed,Masters,Home,NY,1
21637,533,2216,0.46,24,Employed,Bachelors,Education,CA,1
5108,709,6665,0.39,38,Self-Employed,Masters,Business,IL,0
18900,750,2671,0.09,55,Employed,High School,Business,FL,0
24505,645,3900,0.40,34,Unemployed,Bachelors,Home,IL,1
1000,725,7736,0.14,36,Employed,Masters,Home,NC,0
6084,676,6237,0.28,33,Self-Employed,Masters,Car,GA,0
19192,538,688,0.53,33,Employed,Masters,Debt Consolidation,NC,1
26367,461,5418,0.44,6,Self-Employed,High School,Home,CA,1
19215,805,5563,0.12,52,Retired,Masters,Education,IL,0
9120,520,2591,0.22,21,Employed,Bachelors,Car,IL,0
3413,602,2526,0.34,38,Self-Employed,High School,Debt Consolidation,NY,0
8040,581,4628,0.05,20,Employed,High School,Car,IL,0
13508,463,1244,0.37,18,Self-Employed,Masters,Car,OH,1
10595,604,4330,0.31,28,Self-Employed,Bachelors,Education,NY,0
23532,821,3841,0.23,62,Employed,PhD,Education,NC,0
9762,456,2686,0.52,13,Self-Employed,High School,Home,GA,1
1000,777,4009,0.13,61,Self-Employed,Bachelors,Debt Consolidation,CA,0
15161,503,500,0.54,33,Employed,Bachelors,Debt Consolidation,NY,1
16767,642,5202,0.24,29,Retired,High School,Business,IL,1
14058,463,2310,0.10,10,Employed,High School,Home,OH,1
11797,550,2425,0.07,25,Employed,High School,Education,FL,1
1613,561,2050,0.34,34,Employed,Bachelors,Debt Consolidation,OH,0
24486,610,4076,0.37,27,Employed,Bachelors,Home,IL,1
11079,526,1786,0.23,25,Employed,Bachelors,Education,OH,1
9412,535,4573,0.41,17,Retired,PhD,Business,NY,1
17419,413,1391,0.43,8,Employed,High School,Car,IL,1
15784,569,1355,0.47,35,Self-Employed,High School,Debt Consolidation,OH,1
11787,489,1806,0.48,21,Employed,High School,Business,TX,1
20232,476,1215,0.36,18,Unemployed,Bachelors,Debt Consolidation,TX,1
27256,652,4743,0.38,31,Unemployed,PhD,Education,TX,0
10167,300,1422,0.28,6,Retired,Bachelors,Home,FL,0
12553,565,3725,0.29,24,Self-Employed,High School,Car,NY,0
1000,479,825,0.33,26,Retired,Masters,Debt Consolidation,NY,1
12987,665,7672,0.12,22,Retired,Masters,Business,TX,0
5751,558,1503,0.18,32,Employed,High School,Home,CA,1
27743,658,3739,0.46,37,Employed,High School,Education,IL,1
19695,757,6279,0.24,42,Employed,Bachelors,Debt Consolidation,GA,0
22708,702,500,0.18,66,Retired,High School,Car,OH,0
20696,821,4395,0.12,59,Employed,High School,Home,FL,0
16057,533,907,0.45,31,Employed,Masters,Business,FL,1
15169,429,735,0.44,14,Employed,Bachelors,Business,CA,1
17121,477,2335,0.36,14,Employed,Bachelors,Education,GA,1
5242,403,500,0.14,16,Employed,Masters,Business,FL,1
4302,635,5522,0.06,28,Employed,High School,Car,FL,0
18265,430,2345,0.37,6,Retired,High School,Education,IL,1
7841,633,2513,0.05,39,Employed,High School,Car,NC,0
7925,474,935,0.15,20,Unemployed,Bachelors,Debt Consolidation,GA,1
11428,478,1953,0.22,16,Self-Employed,High School,Education,FL,1
